Timestep,Living Population,Active Infections,Economic Productivity,Population Change
755,79277,2813,5176.117322331899,5
756,79296,2796,5167.807430111471,19
757,79313,2782,5161.753117630632,17
758,79321,2784,5155.603772952464,8
759,79331,2781,5148.692481796372,10
760,79338,2749,5140.755836347846,7
761,79352,2748,5135.832535492916,14
762,79369,2715,5128.212823547385,17
763,79373,2721,5121.668545900642,4
764,79390,2732,5116.962604059474,17
765,79400,2732,5103.047232640084,10
766,79408,2721,5093.359537982246,8
767,79427,2744,5083.667130669436,19
768,79443,2705,5075.225906143727,16
769,79457,2697,5070.414592693603,14
770,79469,2685,5064.816495318908,12
771,79481,2689,5054.063262563749,12
772,79495,2689,5047.377066164659,14
773,79516,2717,5042.7471329492755,21
774,79529,2757,5033.750722222752,13
775,79547,2752,5033.109063899315,18
776,79557,2728,5029.07159674603,10
777,79575,2710,5022.001657932266,18
778,79585,2709,5011.6021056882155,10
779,79595,2703,5008.601940262583,10
780,79599,2676,5009.823309085375,4
781,79610,2686,5005.756138015778,11
782,79624,2673,4996.924977885275,14
783,79638,2648,4992.371366397563,14
784,79649,2632,4980.592678109064,11
785,79661,2615,4972.331134738025,12
786,79681,2628,4963.764501815857,20
787,79706,2611,4957.6644459333775,25
788,79727,2596,4950.5793564366,21
789,79740,2586,4944.969409757074,13
790,79754,2624,4939.614286980321,14
791,79776,2609,4934.140180960352,22
792,79787,2605,4932.031793283576,11
793,79795,2601,4929.192186522371,8
794,79809,2572,4924.003586170938,14
795,79820,2544,4919.540801442761,11
796,79837,2523,4913.959199643031,17
797,79858,2507,4902.502413894122,21
798,79869,2509,4896.673173129079,11
799,79888,2493,4890.917100931089,19
800,79901,2463,4882.361600169022,13
801,79909,2452,4880.588283636501,8
802,79922,2437,4877.589894930653,13
803,79947,2451,4873.164893367893,25
804,79961,2436,4868.4090737741635,14
805,79977,2426,4862.911591777457,16
806,79988,2431,4853.113695485174,11
807,80000,2430,4849.35648783663,12
808,80014,2424,4841.577018313889,14
809,80026,2416,4836.144492876467,12
810,80041,2405,4833.982265530249,15
811,80067,2424,4825.809356612368,26
812,80089,2408,4825.524460099177,22
813,80100,2412,4822.757810054092,11
814,80119,2405,4816.936923676861,19
815,80135,2423,4815.160297822561,16
816,80155,2399,4816.332190180477,20
817,80172,2416,4813.184401912633,17
818,80192,2385,4810.259717939203,20
819,80204,2387,4806.480165922762,12
820,80212,2374,4803.529448994991,8
821,80224,2364,4796.031317548121,12
822,80240,2338,4793.619196192223,16
823,80253,2341,4792.07032836631,13
824,80275,2315,4787.893570420454,22
825,80287,2344,4782.796805483477,12
826,80298,2315,4780.465534593975,11
827,80315,2323,4775.856062198026,17
828,80340,2330,4772.677834216026,25
829,80357,2277,4772.704834389135,17
830,80381,2255,4773.593120869507,24
831,80398,2249,4771.140312965929,17
832,80413,2247,4770.2824317523255,15
833,80434,2252,4768.6136407119775,21
834,80443,2240,4767.710043988246,9
835,80457,2244,4766.742193303122,14
836,80472,2253,4767.793245433839,15
837,80493,2228,4766.601972325504,21
838,80508,2241,4764.052002667201,15
839,80519,2242,4759.415366097985,11
840,80540,2234,4758.412831558567,21
841,80548,2240,4756.541297850183,8
842,80563,2231,4755.933754440719,15
843,80570,2206,4758.818829631912,7
844,80597,2232,4755.22080848326,27
845,80604,2245,4753.84545240935,7
846,80614,2237,4753.878267046804,10
847,80641,2233,4757.139375487032,27
